id;name
1;rolnictwo, leśnictwo, łowiectwo i rybactwo
2;górnictwo i wydobywanie
3;przetwórstwo przemysłowe
4;energia elektryczna, gaz, para wodna, gorąca woda
5;wody, ścieki, odpady oraz rekultywacja
6;budownictwo
7;handel hurtowy i detaliczny; naprawa pojazdów i motocykli
8;transport i gospodarka magazynowa
9;zakwaterowanie i usługi gastronomiczne
10;informacja i komunikacja
11;finanse i ubezpieczenia
12;obsługa rynku nieruchomości
13;działalność profesjonalna, naukowa i techniczna
14;usługi administrowania i działalność wspierająca
15;administracja publiczna i obrona narodowa
16;edukacja
17;opieka zdrowotna i pomoc społeczna
18;kultura, rozrywka i rekreacja
19;inna działalność usługowa
20;gospodarstwa domowe
21;organizacje i zespoły eksterytorialne
